Time,Treatment,GT,meanY,sdY,meanF,sdF,meanFm,sdFm,newmeanFm,newmeanF,new_sdF,new_sdFm
0,5mM,col-0,0.804833333333333,0.00538206899497454,0.0403333333333333,0.00287518115371304,0.207,0.0112605506082074,1,1,0.0712854831499102,0.0543987952087314
0,5mM,npq-1,0.804,0.0079498427657407,0.0381666666666667,0.00360092580688171,0.1955,0.0217876111586378,1,1,0.0943474010536692,0.111445581374107
0,water,col-0,0.805,0.00189736659610103,0.0391666666666667,0.00343025752191678,0.2,0.0202286924935845,1,1,0.0875810431127689,0.101143462467922
0,water,npq-1,0.813,0.00651152823843984,0.04,0.00275680975041804,0.213333333333333,0.0132161517343993,1,1,0.0689202437604511,0.0619507112549969
0.5,5mM,col-0,0.722166666666667,0.0119233664150133,0.0413333333333333,0.00233809038890002,0.149166666666667,0.0105719755328258,0.72061191626409,1.02479338842975,0.0579691831958683,0.0510723455692066
0.5,5mM,npq-1,0.700333333333333,0.018118130882259,0.0418333333333333,0.00194079021706795,0.139166666666667,0.00444597195972564,0.711849957374254,1.09606986899563,0.0508503987004703,0.0227415445510263
0.5,water,col-0,0.754666666666667,0.0123234194388841,0.0405,0.00350713558335004,0.164833333333333,0.0146344342790101,0.824166666666667,1.03404255319149,0.089543887234469,0.0731721713950506
0.5,water,npq-1,0.742666666666667,0.0155905954558082,0.0395,0.0064730209330729,0.152333333333333,0.0169312334656004,0.7140625,0.9875,0.161825523326823,0.0793651568700018
1,5mM,col-0,0.652833333333333,0.0134226177278006,0.0448333333333333,0.00426223728418147,0.1285,0.00791833315793167,0.620772946859903,1.11157024793388,0.105675304566483,0.0382528171880757
1,5mM,npq-1,0.5945,0.0223136729383577,0.0468333333333333,0.00231660671385254,0.115666666666667,0.00377712412645741,0.591645353793691,1.22707423580786,0.0606971191402412,0.0193203280125699
1,water,col-0,0.729166666666667,0.011373946837693,0.04,0.00282842712474619,0.1475,0.00907193474403338,0.7375,1.02127659574468,0.0722151606318176,0.0453596737201669
1,water,npq-1,0.712,0.0236896601917376,0.0415,0.00446094160463909,0.143833333333333,0.0108888321993989,0.67421875,1.0375,0.111523540115977,0.0510414009346824
3,5mM,col-0,0.348666666666667,0.0651418964006013,0.044,0.00357770876399966,0.068,0.00414728827066554,0.328502415458937,1.09090909090909,0.0887035230743718,0.0200352090370316
3,5mM,npq-1,0.245666666666667,0.0573782769579801,0.0571666666666667,0.00646271356836017,0.0755,0.00388587184554509,0.38618925831202,1.49781659388646,0.169328739782363,0.0198765823301539
3,water,col-0,0.678333333333333,0.0185004504449666,0.0438333333333333,0.00337144874893074,0.136333333333333,0.0118265238623472,0.681666666666667,1.11914893617021,0.0860795425258913,0.0591326193117358
3,water,npq-1,0.6115,0.0391037082640509,0.0433333333333333,0.00557374799095426,0.112,0.0151261363209512,0.525,1.08333333333333,0.139343699773856,0.0709037640044589
5,5mM,col-0,0.163666666666667,0.0498263651761461,0.0426666666666667,0.00784006802691575,0.0513333333333333,0.0108197350552898,0.247987117552335,1.05785123966942,0.194381851907002,0.0522692514748299
5,5mM,npq-1,0.128166666666667,0.0383896687491136,0.0466666666666667,0.00408248290463863,0.0533333333333333,0.00366969571853944,0.272804774083546,1.22270742358079,0.106964617588785,0.0187708220897158
5,water,col-0,0.658833333333333,0.0230947324441455,0.0468333333333333,0.00337144874893074,0.137,0.00843800924389159,0.685,1.19574468085106,0.0860795425258913,0.0421900462194579
5,water,npq-1,0.551666666666667,0.0327027012136103,0.053,0.00389871773792358,0.118,0.00841427358718505,0.553125,1.325,0.0974679434480896,0.0394419074399299
6,5mM,col-0,0.125166666666667,0.0689794655434983,0.0368333333333333,0.00306050104830347,0.0425,0.00512835256198324,0.205314009661836,0.913223140495868,0.0758801912802514,0.02477465005789
6,5mM,npq-1,0.0823333333333333,0.0434909952365621,0.0435,0.00784219357067906,0.0471666666666667,0.0075476265585061,0.241261722080136,1.13973799126638,0.205472320629146,0.0386067854655044
6,water,col-0,0.609,0.0447437146423942,0.047,0.00442718872423573,0.121,0.01,0.605,1.2,0.113034605725168,0.05
6,water,npq-1,0.531,0.0333946103435869,0.0528333333333333,0.00598052394583173,0.113,0.0115412304370028,0.5296875,1.32083333333333,0.149513098645793,0.0540995176734506
